,Compound,Date,Negative,Neutral,Positive,Text,Tweets Ago
33,0.0,Fri Jan 26 18:26:47 +0000 2018,1.0,0.0,0.0,@nnicepaprika ???,34
34,0.0,Fri Jan 26 18:26:27 +0000 2018,1.0,0.0,0.0,@GoosyBanshee yessssss ??,35
35,0.0,Fri Jan 26 18:18:30 +0000 2018,1.0,0.0,0.0,#AMAs in B&amp;W ? https://t.co/mEvzJlTZpd,36
36,0.5093,Thu Jan 25 18:39:33 +0000 2018,0.859,0.0,0.141,"Today, 25 years ago, were the 1993 #AMAs! Michael Jackson took home three awards and @MariahCarey &amp; @reba each won… https://t.co/yFIllYxCkf",37
37,0.8658,Thu Jan 25 18:26:31 +0000 2018,0.65,0.0,0.35,"RT @PearlJam: #OnThisDay in 1993, #PearlJam won two @AMAs for Favorite New Artist - Pop/Rock and Favorite New Artist - Heavy Metal/Hard Roc…",38
38,0.4588,Mon Jan 22 22:29:06 +0000 2018,0.833,0.0,0.167,"On this day in 1990, @JanetJackson took home TWO #AMAs including Favorite Single - Dance Music. ? https://t.co/lGzZD2Nnz7",39
39,0.0,Mon Jan 22 21:52:46 +0000 2018,1.0,0.0,0.0,"RT @destinyschild: .@KELLYROWLAND, @Beyonce and @RealMichelleW took home two trophies at the 29th Annual @AMAs, held #OTD in 2002! The grou…",40
40,0.4404,Mon Jan 22 21:52:36 +0000 2018,0.888,0.0,0.112,"RT @NKOTB: ""Music truly is the international language and the universal language, even if it is spoken with a Boston accent."" 28 years to t…",41
41,0.0,Wed Jan 17 19:40:21 +0000 2018,1.0,0.0,0.0,I have watched the 2017 #AMAs Instagram Story SO many times and now you can too because we re-posted it! Go watch a… https://t.co/lNvNiijCcI,42
42,0.0,Tue Jan 16 19:53:25 +0000 2018,1.0,0.0,0.0,"RT @BBMAs: Let the countdown BEGIN. ?

The 2018 #BBMAs are LIVE coast-to-coast on Sunday, May 20th at 8pm ET/5pm PT on @NBC. https://t.co/G…",43
43,0.0,Tue Jan 09 20:24:12 +0000 2018,1.0,0.0,0.0,RT @SpringMochin: my pin ? #BTSxAMAs @BTS_twt https://t.co/iYFbaTUvMT,44
