,Date,Tweet
38,Wed May 30 21:01:00 +0000 2018,TIME IS ALMOST UP! Enter the #CMAfest Ultimate Fan Experiences Drawing by 10 AM|CT tomorrow for a chance to win a m… https://t.co/SgV5BlBLW0
39,Wed May 30 15:00:03 +0000 2018,ONLY 24 HOURS LEFT to enter the Ultimate Fan Experiences Drawing for a chance to meet some of your favorite Country… https://t.co/zg6GFTbE5T
40,Wed May 30 00:56:11 +0000 2018,Make sure to grab your tickets to see performances on the Radio Disney Country Stage inside @Xfinity Fan Fair X!… https://t.co/bPqlKqCDMu
41,Wed May 30 00:55:06 +0000 2018,RT @coleswindell: #TheOnesWhoGotMeHere video is out now on @AOL.  https://t.co/8TbwoqrDmT
42,Wed May 30 00:49:35 +0000 2018,RT @russelled: Watch the #BlueTacoma music video NOW on @CMT!!!! https://t.co/UmoV8dSBHQ https://t.co/hpwOSbyPUE
43,Wed May 30 00:49:18 +0000 2018,RT @mirandalambert: Wednesday. #KeeperOfTheFlame https://t.co/leCMgFX16y
44,Wed May 30 00:45:28 +0000 2018,RT @TeganMarieMusic: #IKHTMABC ? 6.1.18 https://t.co/3n8V1dW1tf
45,Tue May 29 15:07:52 +0000 2018,The Ultimate Fan Experiences Drawing is NOW OPEN! Enter here for a chance to win artist meet-and-greets and access… https://t.co/DVojkHeEBG
46,Mon May 28 21:32:00 +0000 2018,.@HGTV is headed to Nashville in just a few days. Enter the Ultimate Fan Experiences Drawing for a chance to win FR… https://t.co/LK3CcT6WoY
47,Mon May 28 17:08:00 +0000 2018,"The Second Annual #MartellCastforaCure presented by @ChrisYoungMusic and @TH3Legends on Sunday, June 3 will benefit… https://t.co/vOBn2l6SY2"
48,Mon May 28 15:03:00 +0000 2018,TOMORROW! #CMAfest https://t.co/sg8OpubaqW
49,Mon May 28 12:29:00 +0000 2018,"Today, we remember those who sacrificed their lives to protect this great nation. #MemorialDay https://t.co/z0anfXAeCQ"
50,Sun May 27 20:03:00 +0000 2018,Country Music's biggest stars will step up to strike out cancer at @cityofhope's Celebrity Softball Game on June 9.… https://t.co/Qhj3FTNoKv
51,Sun May 27 16:06:00 +0000 2018,"Don't wait! Order your official #CMAfest merch by Tuesday, May 29th to get it just in time to rock it at the festiv… https://t.co/SMeL1Sh5Od"
52,Sat May 26 15:05:00 +0000 2018,Create your own personal animated GIF with your pals at the @DurangoBoots booth in Xfinity Fan Fair X during… https://t.co/4vRnxecHXL
53,Fri May 25 21:32:00 +0000 2018,"Coming to #CMAfest? If you’re in Nashville, use promo code CMAGIVES to get 20% off your @PapaJohnsNASH order and 20… https://t.co/azygHsRUL2"
54,Fri May 25 19:36:59 +0000 2018,"Dust those boots off b/c @HGTV is comin' back to #CMAfest w/ @EricPaslay, @DustinLynch &amp; more! Enter the Ultimate F… https://t.co/qAkRirYPFw"
55,Fri May 25 17:38:34 +0000 2018,Who's ready to come rock with us at #CMAfest this year? Be sure to expect some fun surprises from our friends at… https://t.co/74MfFsilfo
56,Thu May 24 22:02:00 +0000 2018,We've got your chance to meet some of your favorite Country Music artists and see EXCLUSIVE #CMAfest performances!… https://t.co/hISfsEGIwn
57,Thu May 24 20:03:00 +0000 2018,See everything in one place! Download the official #CMAfest app presented by @Xfinity to see everything you need to… https://t.co/JyaYS9DWqu
58,Thu May 24 19:01:00 +0000 2018,"We're two weeks away from #CMAfest! Don't forget to come to Broadway to cool off with @GoRVing! Giveaways, AC, game… https://t.co/JY73BqcGy3"
59,Thu May 24 16:21:46 +0000 2018,HURRY! It's the last day to enter to win a signed copy of @TrentHarmon's debut album #YouGotEmAll here:… https://t.co/H80qm6yCtK
60,Thu May 24 14:05:03 +0000 2018,.@JakeOwen &amp; @ColeSwindell added to #CMAfest Nissan Stadium lineup!! Get tix: https://t.co/rBbckYh5A8 https://t.co/eW1E5TtIoa
61,Thu May 24 14:01:12 +0000 2018,"MORE lineups for #CMAfest!
Buy tickets while you still can: https://t.co/rBbckYh5A8 https://t.co/znfUB9Xj35"
62,Wed May 23 21:59:33 +0000 2018,Don't miss your chance to get VIP early access to the @CrackerBarrel Country Roads Stage at @Ascend_Amp during… https://t.co/hnl4EWlvjs
63,Wed May 23 19:00:02 +0000 2018,"Look who's coming to the @Opry this summer with @CarrieUnderwood, @BlakeShelton, and more! https://t.co/jRbRzZnr5O https://t.co/p3XzV6PZuF"
64,Wed May 23 14:32:29 +0000 2018,RT @visitmusiccity: The 2019 @NFL Draft is coming to Nashville! Official announcement: https://t.co/b2OQI6fLgQ | @VisitMusicCity | #NFLDraf…
65,Tue May 22 22:55:44 +0000 2018,.@HGTV wants to bring you to #CMAfest! Last day to enter: https://t.co/5RaDcusfyH https://t.co/ec6esycUI4
66,Tue May 22 21:29:00 +0000 2018,"If you spend the ""First Five Minutes"" of your day listening to @TrentHarmon's new album, you'll be HOOKED ?.  Enter… https://t.co/ait617A80i"
67,Tue May 22 18:38:00 +0000 2018,.@GoRVing is headed back to #CMAfest to take your festival experience to the next level! Get ready for some fun!… https://t.co/AG229enOEt
68,Tue May 22 16:30:23 +0000 2018,Love this @CMAFoundation moment! Happy National #BuyAMusicalInstrumentDay! https://t.co/OmPuB1Fmir
69,Tue May 22 01:03:15 +0000 2018,The winner of @AmericanIdol 2018 is...  find out NOW on @ABCNetwork! https://t.co/7b0AFJD0g8
70,Mon May 21 17:51:22 +0000 2018,Want to see your favorite Country Music stars up close while supporting a great cause? Head out to the @CityOfHope… https://t.co/wxyzwiQHpA
71,Sun May 20 19:51:35 +0000 2018,The @AmericanIdol LIVE two-night finale starts tonight at 8|7c on @ABCNetwork! https://t.co/EiRDSYIXVX
72,Sun May 20 12:26:00 +0000 2018,"Happy birthday, @JonPardi! We're head over boots for you!

Listen: https://t.co/Ee5z1uthV7
Don't miss him performin… https://t.co/LXczsMrP97"
73,Sat May 19 19:17:00 +0000 2018,.@FirestoneTires is with us at this year’s #CMAfest. Stop by the Firestone Destination Country Truck at @Xfinity Fa… https://t.co/U7CmXcDxEL
74,Fri May 18 19:37:19 +0000 2018,"RT @DanAndShay: SELF-TITLED ALBUM JUNE 22:
https://t.co/zyRMtWWGAB https://t.co/MNchGEdvbY"
75,Fri May 18 19:34:11 +0000 2018,"RT @trentharmon: ITS HERE!!! My DEBUT ALBUM IS HERE, #fam!! All glory to #GOD for this moment . ? (Would mean the world if you picked it up…"
76,Fri May 18 19:09:03 +0000 2018,Check out @DBradbery’s new music video shot at the @CMATheater – it’s 100% “Worth It!” https://t.co/dv7OhuPBj6
77,Fri May 18 16:58:12 +0000 2018,"RT @coreysmithmusic: Like most of my material, “Empty Rooms” is drawn from real-life experience. So it made sense to create the video with…"
78,Fri May 18 15:32:00 +0000 2018,"Loving @TrentHarmon's new album? ""Cause I Do!"" ? Enter for a chance to win a signed copy of #YouGotEmAll:… https://t.co/SYfBjqAKN7"
79,Fri May 18 15:06:28 +0000 2018,"The Radio Disney Country Stage is back in @Xfinity Fan Fair X! @RDCountry 

Tickets: https://t.co/rBbckXZuby https://t.co/BIXmKMjAo5"
80,Fri May 18 12:23:00 +0000 2018,"Is it @GeorgeStrait's birthday?

?? Yes     ? No

Happy birthday! Listen: https://t.co/peZg3aMxw0 https://t.co/UiAWYHt542"
81,Thu May 17 23:05:10 +0000 2018,"Meet-and-greets &amp; EXCLUSIVE performances! Enter the Ultimate Fan Experiences Drawing starting Tues, May 29 10 AM|CT… https://t.co/HrLX4wCnXE"
82,Thu May 17 16:59:15 +0000 2018,RT @runawayjune: Just found out we get to sing the National Anthem at the Chevy Riverfront Stage for #CMAfest. ?? Such an honor! ? https://…
83,Thu May 17 16:27:45 +0000 2018,"Just when you thought we couldn't add any more artists to #CMAfest, we did! 

Download the official CMA Fest app pr… https://t.co/2kQAsdRFUG"
84,Wed May 16 23:37:49 +0000 2018,Set up mobile payments on your phone before #CMAfest so you can pay faster at select concession stands and get back… https://t.co/W0TkUOzUhN
85,Wed May 16 17:21:38 +0000 2018,Dress to the nines in #CMAfest merch! Shop here: https://t.co/YZSRVa1dQU https://t.co/CGQxsYA91F
86,Mon May 14 12:02:00 +0000 2018,"We love a small town boy like @DustinLynch - happy birthday! Listen: https://t.co/1ZUtuYMvTt

Don't miss him at… https://t.co/u313fzwRQi"
87,Sun May 13 18:23:00 +0000 2018,.@CarrieUnderwood is headed back to the @AmericanIdol stage to perform and guest mentor the Top 5 TONIGHT at 8|7c o… https://t.co/R05oEz7qe9
88,Sun May 13 16:14:00 +0000 2018,The @cityofhope Celebrity Softball Game returns to #Nashville on June 9! Be there when Country Music's biggest star… https://t.co/fE0AGvVVBj
89,Sun May 13 12:30:00 +0000 2018,"""If I Told You"" it's @DariusRucker's birthday, would you believe us? Happy birthday! Listen:… https://t.co/KtaPLfeeyL"
90,Sat May 12 15:10:00 +0000 2018,"Day or night, the music keeps on playing at #CMAfest! ? ? Experience the true ?? of Nashville aboard @nashtrolley’s… https://t.co/6mkuS1ApSM"
91,Fri May 11 22:26:30 +0000 2018,"RT @DierksBentley: Watch

You 
Can't 
Bring 
Me 
Down

Now
On
@AppleMusic 

https://t.co/mlfkI3hx86

#CultivateKindness https://t.co/2TJPFA…"
92,Fri May 11 22:26:17 +0000 2018,RT @russelled: FINALLLYYYY!!! Watch the #BlueTacoma music video NOW on @Vevo ? https://t.co/i9oz7Ot38H https://t.co/pKPqoM044e
93,Fri May 11 19:34:08 +0000 2018,RT @jtimberlake: Thank you to the one and only @ChrisStapleton for making an appearance last night in Nashville. Always honored to share th…
94,Fri May 11 19:25:00 +0000 2018,Want to meet some of your favorite Country artists at #CMAfest? Use the official app to register for CMA Fest Fan A… https://t.co/lNdIOEzNCJ
95,Fri May 11 16:32:52 +0000 2018,Experience the aloha at the @OfficialMauiJim sunglasses booth this year at #CMAfest! The view's better from here.… https://t.co/hYsQxljw9K
96,Fri May 11 00:27:23 +0000 2018,RT @coleswindell: This song is so special to me &amp; I’m so excited for y’all to hear it. #TheOnesWhoGotMeHere https://t.co/cD7LLxHq7M
97,Fri May 11 00:26:13 +0000 2018,"RT @JordanCWDavis: First time playing the @opry…can’t wait! 

https://t.co/oQCkZDNKqn. https://t.co/QvyAyf4p4j"
98,Thu May 10 19:59:14 +0000 2018,"RT @tenilletownes: This song, and its permission to ask God the hard questions, is so important to me. Losing people we love is hard. Somet…"
99,Thu May 10 00:11:00 +0000 2018,".@TheWildFeathers stopped by our office to give us a taste of what YOU can hear at #CMAfest. Their new album, “Gree… https://t.co/JgAt64gZGF"
100,Wed May 09 22:48:45 +0000 2018,"Last night, the #CMAFoundation honored 34 Music Teachers of Excellence from across the country for… https://t.co/Pv5V1Pq1QP"
101,Mon May 07 15:23:25 +0000 2018,RT @carrieunderwood: Watch the official #CryPretty music video now! -TeamCU https://t.co/ryVbINeB0m
102,Mon May 07 12:19:00 +0000 2018,"""Rays of gold are shining on ya"" for your birthday, Russell Dickerson! See ya at #CMAfest! @Russelled 

Listen:… https://t.co/hLPg9u124Z"
103,Sun May 06 17:04:31 +0000 2018,RT @carrieunderwood: Watch @AmericanIdol tonight to get a worldwide exclusive look at my new music video for #CryPretty !! Live show starts…
104,Fri May 04 22:56:29 +0000 2018,"RT @lukecombs: When I woke up this morning and saw ""Beautiful Crazy"" as the No. 1 OVERALL song on iTunes, all I could think was that I have…"
105,Fri May 04 22:49:36 +0000 2018,RT @barkbox: DOES YOUR DOG LOVE COUNTRY MUSIC BECAUSE HE IS HIS OWN MAN WITH HIS OWN TASTES? Then enter to win our DOG FRIENDLY trip to Nas…
106,Fri May 04 22:16:00 +0000 2018,LAST CHANCE! #CMAfest Grab Bag sale ends at 11:59 PM PT tonight. Buy here: https://t.co/YZSRVaiOIs https://t.co/4U9fihJZJn
107,Fri May 04 19:37:36 +0000 2018,"RT @Sugarlandmusic: You’ve got each other, that’s your #Mother. ? Watch the lyric video now!
https://t.co/08iKhzDypO https://t.co/AAr9Tfk77r"
108,Fri May 04 17:41:16 +0000 2018,RT @DrakeWhite: Alternate cover from an alternate universe. So excited to finally share PIECES with you all. #maythefourthbewithyou #starwa…
109,Fri May 04 17:40:37 +0000 2018,RT @carrieunderwood: Coming soon… #CryPretty https://t.co/Rc0ZotYYlC
110,Fri May 04 16:18:10 +0000 2018,".@barkbox wants to send you, your friend, and your dog (yes, your dog) on a dream vacation to Nashville for… https://t.co/qd67PAHLir"
111,Fri May 04 15:18:38 +0000 2018,RT @coreysmithmusic: This ain’t no cookie-cutter shit… Empty Rooms is available now! #GreatWideUnderground Listen now: https://t.co/BWKkbxz…
112,Fri May 04 13:26:00 +0000 2018,"""Queens Don't"" go ""Kissin' Frogs"" on their birthdays, they celebrate! Happy birthday to the fabulous @RaeLynn! List… https://t.co/U7NApqDdXu"
113,Fri May 04 12:46:00 +0000 2018,"Happy birthday, @RandyTravis! We'll be listening to your music for ""as long as old men sit and talk about the weath… https://t.co/BUFG1r7Qz9"
114,Thu May 03 21:19:58 +0000 2018,"RT @DanAndShay: #ALLTOMYSELF | AVAILABLE NOW ?

https://t.co/yUTPVwelXm https://t.co/23ebtQfuZN"
115,Thu May 03 20:08:08 +0000 2018,"RT @saraevansmusic: I had so much fun in Cincinnati yesterday for the #CMASongwritersSeries presented by @usbank with @trentharmon, Rob Hat…"
116,Thu May 03 17:24:28 +0000 2018,RT @ericpaslay: Great day in #Cincinnati with @saraevansmusic @trentharmon and #RobHatch  getting to gift instruments to kids thanks to @cm…
117,Thu May 03 17:23:54 +0000 2018,"RT @usbank: One school down, three to go. Cincinnati’s Roselawn Elementary School just received a music makeover thanks to #USBank and @Cou…"
118,Thu May 03 16:12:00 +0000 2018,? STOP what you are doing! ? It's the last day to enter to win a signed copy of @AshleyMonroe's album #Sparrow :… https://t.co/gncDjwX2WC
119,Thu May 03 14:30:01 +0000 2018,"Be the best dressed with BRAND NEW #CMAfest merch! For 48 hours only, buy the $35 Grab Bag (a $49 value), which inc… https://t.co/5A1USc3A1l"
120,Thu May 03 14:07:00 +0000 2018,"Don't waste anymore time - it's the last day to enter to win a signed copy of @KeithUrban's new album, #GraffitiU:… https://t.co/D7IGyDNH3m"
121,Thu May 03 12:44:00 +0000 2018,"Who's going to ""drink a little drink"" to celebrate @EricChurch's birthday? Listen: https://t.co/O08SUbuQpK https://t.co/ZIFBLJzlq3"
122,Thu May 03 02:35:54 +0000 2018,"What a great #CMASongwritersSeries presented by @usbank with @saraevansmusic, @trentharmon, Rob Hatch &amp; @ericpaslay… https://t.co/x0cIUrXU2l"
123,Tue May 01 20:12:20 +0000 2018,TOMORROW! https://t.co/AgbLZjj3bu
124,Tue May 01 18:57:19 +0000 2018,.@KelseaBallerini and @LillieMae_Music brought #CMASongwritersSeries to the Golden State last Friday! https://t.co/l06nhrsa5c
125,Tue May 01 16:44:00 +0000 2018,.@KeithUrban has done it again! #GraffitiU is ?! Enter to win a signed copy https://t.co/JZBUDIPzQF or buy it here… https://t.co/FJHuXgHGb8
126,Tue May 01 12:34:00 +0000 2018,"Happy birthday, @TheTimMcGraw! We hope you celebrate by sky diving, Rocky Mountain climbing, and going 2.7 seconds… https://t.co/bFLnFfnxTr"
127,Mon Apr 30 23:37:06 +0000 2018,RT @MaddieandTae: Y’all! This day!! Thank you SO much for all the love. ? You can watch the #FriendsDont lyric video on @Vevo now: https://…
128,Mon Apr 30 23:36:52 +0000 2018,"RT @Sugarlandmusic: We will be performing on @JimmyKimmelLive this Wednesday, May 2 at 11:35/10:35c...don't be late! ? https://t.co/x9ABOLW…"
129,Mon Apr 30 23:36:40 +0000 2018,RT @WillieNelson: Last Man Standing at Luck https://t.co/PoLMaIEV0i https://t.co/i5dYzWGUbe
130,Mon Apr 30 23:36:31 +0000 2018,RT @KaceyMusgraves: https://t.co/NY9tkLXxOt https://t.co/EfOv0CrSwg
131,Mon Apr 30 22:00:07 +0000 2018,We've had @AshleyMonroe's album #Sparrow on repeat since the day it came out! Enter to win a signed copy here:… https://t.co/DUo8ZuAkEK
132,Sun Apr 29 21:10:52 +0000 2018,"""Can You Feel the Love Tonight""? It's @Disney night on @AmericanIdol - watch at 8|7c on the @ABCNetwork. https://t.co/wgvojk3Pqy"
133,Sun Apr 29 13:05:00 +0000 2018,"Happy birthday @MichaelRayMusic ?Listen: https://t.co/AGRMVZVrEc

Don't miss him at the @CrackerBarrel Country Road… https://t.co/Fc44YVMcqi"
134,Sun Apr 29 12:06:00 +0000 2018,"Happy birthday @WillieNelson, we hope you celebrate with a ""Bloody Mary Morning"" ? Listen: https://t.co/ypMZjunEEb https://t.co/k3wEmAZB9J"
135,Sat Apr 28 19:21:00 +0000 2018,"#CMAfest for 4 days of nonstop Country Music, now ""That's My Kind of Night""! Buy 4-day passes before they're gone -… https://t.co/J846PMj8Lt"
136,Fri Apr 27 15:32:00 +0000 2018,"""I'm Trying To"" stop listening to @AshleyMonroe's new album, but I can't! ? Enter to win a signed copy of #Sparrow:… https://t.co/CtcePQkjNP"
137,Fri Apr 27 14:04:00 +0000 2018,".@KeithUrban is ""taking a little bit of our hearts tonight"" with his new album #GraffitiU! ? 

Enter to win a signe… https://t.co/T070XiZACW"
138,Fri Apr 27 12:37:00 +0000 2018,Happy birthday to John Osborne from @BrothersOsborne! Blame the party on his birthday and blame his birthday on the… https://t.co/Xe07NaJrU3
139,Thu Apr 26 21:09:00 +0000 2018,You don't want to miss this! It’s the last day to enter to win a signed copy of Old @CrowMedicine Show's new album… https://t.co/snHB6QqIHU
140,Thu Apr 26 21:07:58 +0000 2018,RT @kanebrown: LETS GO!!!!! @Camila_Cabello https://t.co/cVAvgqNs9R
141,Thu Apr 26 21:07:48 +0000 2018,RT @ericpaslay: I wrote my new single #YoungForever with my buddies @Morgan_Evans &amp; @destefanomusic…this song is for everybody! If you want…
142,Thu Apr 26 18:54:50 +0000 2018,It's the last day - enter “While You Still Can” for a chance to win a signed copy of @BrothersOsborne’s… https://t.co/ov1islvGCJ
143,Thu Apr 26 18:34:07 +0000 2018,"RT @TylerRichMusic: CMA Fest! It’s gonna be a party, and this year we’re benefiting a great cause with the @cmafoundation #itstartswithme h…"
144,Thu Apr 26 16:19:15 +0000 2018,RT @Jordan_Rager: Stoked to be back at #CMAFest this year. Gonna be THE party of the summer and it’s for a great cause @CMAFoundation #itst…
145,Thu Apr 26 16:18:33 +0000 2018,RT @AustinJenckes: YOU HEARD IT HERE FIRST! I’m performing at @CountryMusic’s #CMAfest in support of the #CMAFoundation &amp; music education!…
146,Thu Apr 26 16:18:05 +0000 2018,RT @haleynmichaels: YOU HEARD IT HERE FIRST! We’re performing at @CountryMusic’s #CMAfest in support of the #CMAFoundation &amp; music educatio…
147,Thu Apr 26 16:17:28 +0000 2018,RT @StephanieQuayle: I’m so excited to perform #Selfish (+ more!) on the Broadway Stage at @CountryMusic's #CMAfest in support of the @cmaf…
148,Thu Apr 26 16:16:43 +0000 2018,RT @_SarahDarling: SO EXCITED to announce that I’m performing at @CountryMusic’s #CMAFest in support of #CMAFoundation &amp; music education ?…
149,Thu Apr 26 16:05:33 +0000 2018,Two more FREE stages and 70+ acts just announced for #CMAfest! https://t.co/aNf12gvn7r
150,Wed Apr 25 20:26:35 +0000 2018,"RT @C2Cfestival: This week's track from the 2018 C2C Sessions is one of our absolute favourites - @AshleyMcBryde  'Girl Goin Nowhere'. 

Wh…"
151,Wed Apr 25 20:26:16 +0000 2018,"RT @ericpaslay: Cincinnati, I’m coming to town with my friends from the Country Music Association next Wed., May 2 for their #CMASongwriter…"
