,Date,Tweet
39,Fri Jun 01 20:27:45 +0000 2018,Tune into the #WangoTango live stream on Twitter @ATT on Saturday June 2 at 7pm PT for performances by… https://t.co/G9a93zNP63
40,Fri Jun 01 20:02:49 +0000 2018,"""I hope to create anthems for you that wrap you up with comfort and make you get your best life for as long as I li… https://t.co/hxx7IUKFTh"
41,Fri Jun 01 19:31:00 +0000 2018,"Whose #WangoTango performance are you looking forward to? ??

Don't forget, you can watch  with us tomorrow on the… https://t.co/psOIT5pSkm"
42,Fri Jun 01 19:15:00 +0000 2018,The iHeartRadio Artist of the week is @lukecombs. We're so proud to see his successful career grow. From being a pr… https://t.co/AM8OkmQ26a
43,Fri Jun 01 18:32:00 +0000 2018,You have to see all the stars that made cameos in @maroon5 + @iamcardib's video for #GirlsLikeYou:… https://t.co/qPRYnOEwwI
44,Fri Jun 01 18:15:00 +0000 2018,You oughta know that today is @Alanis' birthday! Happy Birthday ? https://t.co/eRQWjDn94K
45,Fri Jun 01 18:00:02 +0000 2018,"Bride-to-be and #WangoTango performer @Meghan_Trainor walked us through her wedding plans! ?

https://t.co/3BL3vZNh1X"
46,Fri Jun 01 17:45:00 +0000 2018,99.9999% of my time spent looking at this pic was me crying over how cute Toulouse is ? #CutestPet https://t.co/GTxNgzTxB5
47,Fri Jun 01 17:30:00 +0000 2018,"Have I talked about how proud I am of @BTS_twt lately? (probably, yes) ? https://t.co/VU3fd5qlVT"
48,Fri Jun 01 17:00:00 +0000 2018,Kanye West shot the album cover on his way to the album listening party: https://t.co/rJAkezjgJP https://t.co/pYYCiZ89YN
49,Fri Jun 01 16:27:00 +0000 2018,Would your rather be #Nervous like @ShawnMendes or #Confident like @ddlovato? ? https://t.co/kmTXBik2eB
50,Fri Jun 01 15:54:00 +0000 2018,"My heart melts every time I see pics of @HaileeSteinfeld + @NiallOfficial, honestly ?https://t.co/g9NWc32FP1"
51,Fri Jun 01 15:30:21 +0000 2018,Tweet us random words using #iHeartRoyceda59 and @Royceda59 will drop a freestyle with them ? https://t.co/Rox9CpvqDv
52,Fri Jun 01 15:14:00 +0000 2018,My excitement level knowing I get to see @5SOS at #WangoTango tomorrow ?? https://t.co/KismYJbDVt
53,Fri Jun 01 15:08:32 +0000 2018,RT @Michaelraymusic: FINALLY #AMOS is out today &amp; you can watch me answer the questions you've been sending to the @bobbybonesshow.   thank…
54,Fri Jun 01 15:08:30 +0000 2018,"RT @Michaelraymusic: thanks to my friends @iHeartRadio, @cmt and especially @CodyAlan for the invite to be on the show for my @iHeartCountr…"
55,Fri Jun 01 15:08:05 +0000 2018,RT @dvsndvsn: We just did @AskAnythingChat for our friends at @SteveHarveyFM https://t.co/zwJLsTnjO7. Thanks to @IAmSteveHarvey @iHeartRadi…
56,Fri Jun 01 15:00:01 +0000 2018,"Can’t catch your favs at #WangoTango this weekend? We've got you covered! ?

Watch performances from @ArianaGrande,… https://t.co/mW93f3PPak"
57,Fri Jun 01 14:30:02 +0000 2018,A @Zedd + @ShawnMendes collab is on the way and I haven't stopped yelling ? https://t.co/HVFYBXSUZn
58,Fri Jun 01 14:02:00 +0000 2018,Don't expect to see @Camila_Cabello aimlessly scrolling through social media anytime soon ??https://t.co/9HKlymZrI3
59,Fri Jun 01 14:00:01 +0000 2018,"In honor of Pride and the LGBTQ community, listen to 'Pride Radio' on iHeartRadio to celebrate free love.

??:… https://t.co/VB7eDZQw98"
60,Fri Jun 01 03:15:00 +0000 2018,"Don't miss out on performances from @ArianaGrande, @ShawnMendes, @5SOS and more this Saturday at #WangoTango! Watch… https://t.co/KBmJ6h8u9R"
61,Fri Jun 01 02:02:00 +0000 2018,"""I think that's something we can all do: we can all learn from this conversation."" ? @charli_xcx https://t.co/0rPzAhnjpT"
